,xni,str,step,dy_m,dy_std
183,0.05,150,440.0,2090.7708432765053,352.5079777706528
184,0.05,150,460.0,2152.2130235955215,332.77750468128727
185,0.05,150,480.0,2231.671061073954,347.02194839239496
186,0.05,150,500.0,2316.3195295043556,369.4073139235936
187,0.05,150,520.0,2407.7912223342432,378.2289062959689
188,0.05,150,540.0,2704.8038747620453,215.7579334178284
189,0.05,150,560.0,2630.0933561696515,
190,0.05,150,580.0,2708.6068796780446,
191,0.12,50,80.0,109.38937172809915,52.684573535854845
192,0.12,50,100.0,116.8150305384418,51.88937506951106
193,0.12,50,120.0,125.92793469958482,60.18719735701746
194,0.12,50,140.0,129.55447757751318,65.34788555180482
195,0.12,50,160.0,133.42520798562302,62.080505041693044
196,0.12,50,180.0,143.3472157913147,50.25355187484164
197,0.12,50,200.0,147.74339968612225,46.49896406898421
198,0.12,50,220.0,147.924501814854,45.039586259730804
199,0.12,50,240.0,149.25653690382754,44.60887100698264
200,0.12,50,260.0,153.96441901185898,39.87891858171016
201,0.12,50,280.0,157.10080623800906,35.69352744885491
202,0.12,50,300.0,156.48025609511075,37.916745725164844
203,0.12,50,320.0,157.40343370099112,35.60481358649534
204,0.12,50,340.0,159.69701215768504,31.647739832671473
205,0.12,50,360.0,158.09595409479732,34.02321785016085
206,0.12,50,380.0,158.64194311080072,31.426654410633578
207,0.12,50,400.0,160.2698192387149,31.738412384685848
208,0.12,50,420.0,161.42842980893272,30.402120285285516
209,0.12,50,440.0,161.7456248662761,31.969003154303856
210,0.12,50,460.0,161.0887135008649,31.998326627395596
211,0.12,50,480.0,160.98113740067095,33.221991810629795
212,0.12,50,500.0,160.67624337509343,31.159092520253964
213,0.12,50,520.0,161.28005054536902,31.14161720711296
214,0.12,50,540.0,183.32835969494235,
215,0.12,75,80.0,197.90166847677574,19.89152333625965
216,0.12,75,100.0,217.56278704754922,27.296084984427353
217,0.12,75,120.0,231.45871088729393,38.83953898450365
218,0.12,75,140.0,241.85022588434586,50.39795237032441
219,0.12,75,160.0,254.3830460616989,63.412318908241275
220,0.12,75,180.0,266.45856311284433,75.81644244861664
221,0.12,75,200.0,276.1863744118729,82.60769049128541
222,0.12,75,220.0,291.63774448428444,96.33467951561167
223,0.12,75,240.0,301.3365627013835,100.0805081153763
224,0.12,75,260.0,308.6518355653995,104.19695520213898
225,0.12,75,280.0,318.415681223243,114.73758277459787
226,0.12,75,300.0,335.4236688707422,134.69478069857107
227,0.12,75,320.0,350.20565936795134,147.0714362884102
228,0.12,75,340.0,361.0457156048592,158.37173601481422
229,0.12,75,360.0,376.0541734576212,166.84229682527422
230,0.12,75,380.0,387.2707216861343,177.18499056229217
231,0.12,75,400.0,395.6261797954306,181.42944664136334
232,0.12,75,420.0,406.841331360873,185.9443883445915
233,0.12,75,440.0,416.0799270284776,190.66790491251896
234,0.12,75,460.0,426.80264234066107,198.0790772452847
235,0.12,75,480.0,439.15693550838273,212.0801216422889
236,0.12,75,500.0,454.5905177791755,227.80429137974866
237,0.12,75,520.0,465.9813330403637,229.8886375476746
238,0.12,75,540.0,479.4399503185584,239.82103634990347
239,0.12,100,80.0,232.97817776131905,20.776135685180847
240,0.12,100,100.0,253.66500627575027,22.499402684550898
241,0.12,100,120.0,270.88521331556126,26.561218132977945
242,0.12,100,140.0,294.1987086501342,33.54883338253815
243,0.12,100,160.0,315.4674875973975,35.954771465867296
244,0.12,100,180.0,334.35465935834907,50.06541948995754
245,0.12,100,200.0,358.36224168254716,59.73004584954474
246,0.12,100,220.0,392.3832796743601,70.13791789361714
247,0.12,100,240.0,417.9268082111629,71.22220904227645
248,0.12,100,260.0,437.43036184708393,88.79630122999212
249,0.12,100,280.0,448.2630136258647,100.6704174118085
250,0.12,100,300.0,461.37144620353064,111.08603871310231
251,0.12,100,320.0,474.7644749090773,116.73435579726561
252,0.12,100,340.0,489.0487240868455,115.22308655515266
253,0.12,100,360.0,515.4834619049701,103.77171489924281
254,0.12,100,380.0,546.2170490173836,102.27444491778563
255,0.12,100,400.0,591.3326863927205,87.5427753304259
256,0.12,100,420.0,636.8680948737393,78.52382771190555
257,0.12,100,440.0,680.4873136977938,85.66448807281344
258,0.12,100,460.0,718.9638787380607,97.72848102184678
259,0.12,100,480.0,746.6847458050386,92.66098120560073
260,0.12,100,500.0,766.824191536547,84.61307525934254
261,0.12,100,520.0,785.987239596001,66.9587426279165
262,0.12,100,540.0,850.176639736492,
263,0.12,100,560.0,882.5288379954277,
264,0.12,120,80.0,352.95651014979495,27.06442606187481
265,0.12,120,100.0,441.7028157313032,32.47065353235966
266,0.12,120,120.0,519.4668544925735,21.722269766098705
267,0.12,120,140.0,568.0173382658428,18.12674551356647
268,0.12,120,160.0,624.221444816755,26.774125680161173
269,0.12,120,180.0,692.431692106315,40.999052655774136
270,0.12,120,200.0,766.3745259821434,55.368265855071904
271,0.12,120,220.0,828.3665261296675,51.462905213293936
272,0.12,120,240.0,867.5953236798229,45.8107170415605
273,0.12,120,260.0,916.4245972049503,41.76500761810892
274,0.12,120,280.0,979.5667654047011,45.5621892859894
275,0.12,120,300.0,1048.7321152170705,50.933003180618364
276,0.12,120,320.0,1118.8206884227052,49.058800066996426
277,0.12,120,340.0,1165.0321229169515,40.106771416952576
278,0.12,120,360.0,1208.2822999520486,39.349482009793135
279,0.12,120,380.0,1260.7254127735216,37.139928506063164
280,0.12,120,400.0,1330.7589762613898,40.3790047536309
281,0.12,120,420.0,1408.2057600644137,50.51990725971308
282,0.12,120,440.0,1466.4238303549907,36.35156921208408
283,0.12,120,460.0,1513.3416399842338,50.9932071140284
284,0.12,120,480.0,1566.717680039758,60.37518338703813
285,0.12,120,500.0,1632.1118569072012,67.02886873187627
286,0.12,120,520.0,1699.8192858007985,77.14308227321597
287,0.12,120,540.0,1759.3329448521515,75.45534903349959
288,0.12,150,80.0,444.69914217975025,82.82720980947899
289,0.12,150,100.0,529.9277662982003,83.48918627417711
290,0.12,150,120.0,628.0624276937652,99.26923814407319
291,0.12,150,140.0,719.3534637172737,135.56737490929737
292,0.12,150,160.0,801.8932037419589,140.1784745181608
293,0.12,150,180.0,877.1597277670745,141.81601777412018
294,0.12,150,200.0,964.0089018302715,159.15944446479944
295,0.12,150,220.0,1057.8201208171106,161.49831862746328
296,0.12,150,240.0,1149.4102020113182,178.26544951210496
297,0.12,150,260.0,1233.117080700403,190.36959970468175
298,0.12,150,280.0,1301.7330830627834,204.35619427025134
299,0.12,150,300.0,1368.9250358905085,229.77833770940194
300,0.12,150,320.0,1450.5979421947668,257.4328647750116
301,0.12,150,340.0,1526.414735019892,251.48060341510336
302,0.12,150,360.0,1611.285930592628,250.9968549106172
303,0.12,150,380.0,1708.2764848321558,261.9466431921067
304,0.12,150,400.0,1795.425720114654,285.8254293359283
305,0.12,150,420.0,1878.3169557611402,303.7222167820934
306,0.12,150,440.0,1976.9638843060968,345.6365629366678
307,0.12,150,460.0,2062.1373928589614,363.8784253685857
308,0.12,150,480.0,2150.6181455487636,382.93485691307444
